Feature	Gain	Cover	Frequency
mtarjeta_master_consumo	0.000742398227298121	0.00226840499773417	0.00153546934179548
tmobile_app	0.000688348925615855	0.0064228262623995	0.00102364622786365
tpaquete9	0.000683194577795129	0.00313579074744081	0.00081891698229092
Visa_delinquency	0.000682632177052584	0.00146880458121039	0.000511823113931825
cinversion1	0.000667308541336749	0.00632999857318914	0.00081891698229092
ccajas_trx	0.000656473942703985	0.00254319708357325	0.00081891698229092
Visa_msaldodolares	0.000620949796712265	0.00272978777890585	0.00163783396458184
ctarjeta_master_trx	0.000618214436282068	0.00163958540358105	0.00143310471900911
mtarjeta_visa_descuentos	0.000614448462152956	0.00644734564553004	0.00214965707851367
mcheques_emitidos	0.00059243928199938	0.0023949392958707	0.000307093868359095
Master_mconsumosdolares	0.000559440947367968	0.000536826650143673	0.00122837547343638
Master_mpagosdolares	0.000527560918136941	0.000723221230639908	0.00163783396458184
mttarjeta_master_debitos_automaticos	0.000516415191291863	0.00169667493530398	0.00122837547343638
tpaquete7	0.000509965915967516	0.00485576814817279	0.000716552359504555
Master_mpagado	0.000506959330383829	0.00679025997978368	0.00112601085065002
cseguro_vivienda	0.000334719125166371	0.000363456106215956	0.000307093868359095
ccajas_extracciones	0.000320937725425755	0.00190105173771875	0.000511823113931825
internet	0.000298829126702524	0.00284222192316665	0.000511823113931825
Master_madelantopesos	0.000289951926324915	0.000692612230411117	0.00122837547343638
mcaja_ahorro_adicional	0.000282557731542877	0.00140149193506901	0.000307093868359095
tpaquete1	0.000189542067700009	0.00400748096637627	0.000511823113931825
Visa_madelantodolares	0.000188209565186787	0.00013302117349305	0.00040945849114546
minversion2	0.000186079335788463	0.00318807797996569	0.00040945849114546
cforex	0.000161465637415174	0.000356054028289756	0.00020472924557273
ctarjeta_visa_descuentos	0.000147446198746471	0.00115876713926755	0.00081891698229092
cseguro_vida	0.000127025332528608	0.000165732122480775	0.00020472924557273
Visa_madelantopesos	0.000107656911509309	0.000203461599845095	0.00040945849114546
ctarjeta_master_debitos_automaticos	9.95981046999575e-05	0.000655933727426265	0.00020472924557273
minversion1_pesos	9.9558203528246e-05	0.000745321864122007	0.00020472924557273
ccajeros_propios_descuentos	9.87890719043526e-05	0.00223135940800434	0.000307093868359095
catm_trx_other	8.29452029683203e-05	0.000544087927674538	0.000511823113931825
mcheques_depositados	8.21326327149181e-05	0.00235763724827793	0.000307093868359095
ccheques_depositados	6.4681556950076e-05	0.00160299238655051	0.00020472924557273
ccajas_depositos	5.94115321670314e-05	0.000310711272406233	0.000102364622786365
cseguro_auto	5.91675706811352e-05	0.00159435327657958	0.00020472924557273
Master_msaldodolares	5.12863046596335e-05	7.81794195099404e-05	0.000102364622786365
Master_delinquency	5.03265462954495e-05	0.000140111479115294	0.00020472924557273
Visa_cadelantosefectivo	3.7587963698214e-05	1.73335343828883e-05	0.000102364622786365
mforex_sell	1.28845300643801e-05	0.000251223105377057	0.000307093868359095
Master_madelantodolares	6.18737909512905e-06	3.50743841951395e-05	0.000102364622786365
Master_cadelantosefectivo	9.69890384224344e-13	0.00016868390219727	0.000511823113931825
